Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Sx07,Sx08,Sx09,r,theta,z
30,31,29,30,30,34,29,34,28,33,0,0,0
29,31,30,30,29,34,29,34,29,33,0,0,0
30,30,29,31,28,34,30,34,28,32,0,0,0
30,30,29,32,27,33,30,33,28,32,0,0,0
30,30,30,31,26,33,30,34,27,31,0,0,0
30,29,30,31,24,33,30,33,26,31,0,0,0
30,29,29,31,26,33,30,33,26,31,0,0,0
30,29,29,30,27,32,30,33,27,31,0,0,0
30,30,29,29,28,33,30,34,28,31,0,0,0
30,30,29,29,28,33,30,34,28,31,0,0,0
30,30,28,30,28,33,30,35,29,32,0,0,0
30,30,29,30,27,33,30,35,29,32,0,0,0
30,30,29,30,26,33,30,33,29,32,0,0,0
30,29,29,30,25,33,30,33,28,31,0,0,0
29,29,29,30,25,33,30,33,28,32,0,0,0
29,29,29,30,25,33,30,32,29,31,0,0,0
29,29,29,29,26,33,30,32,29,31,0,0,0
29,29,29,29,28,33,29,33,29,32,0,0,0
29,29,29,28,28,32,30,34,28,32,0,0,0
29,29,29,28,28,32,30,33,28,32,0,0,0
29,29,30,29,28,32,29,34,28,33,0,0,0
30,30,30,30,28,32,29,34,28,33,0,0,0
30,30,30,29,26,32,30,34,28,32,0,0,0
30,30,30,29,27,33,30,33,28,32,0,0,0
30,30,30,30,26,33,29,33,28,31,0,0,0
30,30,29,29,26,33,29,32,28,30,0,0,0
29,29,29,29,24,32,30,32,28,31,0,0,0
30,29,30,30,24,32,29,31,28,31,0,0,0
30,30,29,30,24,33,30,32,29,31,0,0,0
30,30,29,30,24,34,30,32,28,31,0,0,0
31,30,28,30,24,34,30,33,27,32,0,0,0
30,30,29,29,24,34,30,33,28,32,0,0,0
30,29,29,29,26,34,30,32,28,31,0,0,0
30,29,29,28,27,34,30,32,27,32,0,0,0
30,29,29,29,29,33,29,32,27,32,0,0,0
30,30,29,29,29,34,29,30,28,32,0,0,0
30,30,29,29,29,33,30,31,28,32,0,0,0
29,31,29,29,28,33,30,31,28,32,0,0,0
30,31,29,29,26,33,30,31,29,32,0,0,0
30,31,29,30,26,33,30,30,29,32,0,0,0
30,30,29,30,28,33,30,32,30,32,0,0,0
30,30,29,30,29,33,29,31,30,32,0,0,0
30,30,28,31,28,33,29,31,30,32,0,0,0
30,30,28,30,30,33,29,31,29,32,0,0,0
30,30,29,29,28,33,28,30,29,32,0,0,0
30,29,29,29,26,34,29,29,29,32,0,0,0
30,30,29,30,26,34,29,30,29,32,0,0,0
29,29,29,30,25,34,29,30,29,32,0,0,0
29,29,29,30,25,34,28,31,28,31,0,0,0
29,29,28,31,25,34,28,31,28,31,0,0,0
29,30,28,31,26,33,28,32,28,31,0,0,0
30,30,29,31,26,33,28,32,27,31,0,0,0
30,30,29,30,26,33,29,32,27,31,0,0,0
30,30,29,30,26,32,30,31,28,31,0,0,0
30,30,29,30,27,32,30,31,28,32,0,0,0
30,29,29,30,27,32,30,30,28,32,0,0,0
30,29,29,30,29,33,30,29,28,32,0,0,0
29,29,29,30,28,33,29,29,28,32,0,0,0
29,29,28,31,28,34,29,30,28,32,0,0,0
30,29,28,31,26,34,29,30,28,31,0,0,0
29,29,28,31,27,33,29,31,28,32,0.3,0,0
29,29,29,31,26,32,29,31,28,32,0.3,0,0
29,29,29,31,26,31,30,32,27,33,0.3,0,0
29,29,29,31,26,31,30,31,28,34,0.3,0,0
28,29,30,29,27,30,30,32,28,35,0.3,0,0
28,30,30,30,26,30,30,31,28,34,0.3,0,0
28,31,30,30,26,31,30,31,28,35,0.3,0,0
29,31,30,30,26,31,30,30,29,34,0.3,0,0
29,31,30,30,26,31,30,31,28,34,0.3,0,0
29,31,30,31,26,31,29,30,28,35,0.3,0,0
29,31,30,30,27,32,29,30,28,35,0.3,0,0
29,30,30,30,27,31,29,31,28,35,0.3,0,0
29,30,30,30,28,31,29,30,28,35,0.3,0,0
28,30,30,30,28,32,29,30,28,35,0.3,0,0
28,30,31,30,29,32,29,30,28,34,0.3,0,0
29,31,30,30,28,31,29,30,28,34,0.3,0,0
28,31,31,30,28,31,29,30,28,34,0.3,0,0
28,31,30,31,27,31,29,29,28,35,0.3,0,0
29,31,30,30,28,30,29,29,28,35,0.3,0,0
29,31,30,30,28,31,29,29,28,35,0.3,0,0
28,31,29,31,28,31,29,29,28,34,0.3,0,0
28,31,29,31,29,31,29,29,28,34,0.3,0,0
27,31,29,30,30,31,30,29,28,33,0.3,0,0
27,32,29,31,28,31,29,30,28,34,0.3,0,0
27,31,29,31,28,31,29,31,28,34,0.3,0,0
27,31,30,31,28,30,29,31,28,34,0.3,0,0
28,31,30,31,27,30,29,31,28,35,0.3,0,0
29,30,30,31,27,30,29,31,28,34,0.3,0,0
29,30,30,30,29,30,29,31,28,33,0.3,0,0
29,30,30,30,29,30,29,31,28,33,0.3,0,0
30,31,30,30,29,30,29,31,27,33,0.3,0,0
29,31,30,29,30,31,30,31,28,33,0.3,0,0
29,31,30,29,29,31,30,30,27,33,0.3,0,0
28,31,30,29,29,31,30,30,28,33,0.3,0,0
28,30,30,29,28,31,30,30,27,33,0.3,0,0
28,31,30,29,30,31,30,29,27,33,0.3,0,0
28,31,30,29,29,31,30,29,27,33,0.3,0,0
28,30,30,30,29,31,30,29,27,33,0.3,0,0
28,30,30,30,28,30,29,30,27,34,0.3,0,0
28,31,31,30,30,30,29,30,27,34,0.3,0,0
28,30,31,31,30,30,29,31,27,34,0.3,0,0
28,30,31,31,30,29,29,31,27,35,0.3,0,0
28,31,30,32,28,29,29,31,27,34,0.3,0,0
28,31,30,32,29,30,29,32,27,35,0.3,0,0
28,31,30,32,29,30,29,33,28,36,0.3,0,0
28,32,30,31,29,30,29,33,28,35,0.3,0,0
28,32,30,31,29,31,29,33,28,35,0.3,0,0
27,32,30,31,29,32,29,34,28,35,0.3,0,0
28,32,30,31,29,31,29,33,28,34,0.3,0,0
28,32,30,31,29,30,30,32,27,33,0.3,0,0
28,32,30,30,29,31,30,32,27,33,0.3,0,0
28,31,30,30,29,30,29,31,27,33,0.3,0,0
28,31,29,29,30,30,29,31,27,34,0.3,0,0
27,31,29,29,29,31,29,30,27,33,0.3,0,0
28,31,30,29,29,31,29,31,27,34,0.3,0,0
28,31,30,29,27,30,29,31,27,34,0.3,0,0
29,31,30,29,28,30,29,32,27,33,0.3,0,0
29,32,30,30,28,30,29,32,27,34,0.3,0,0
29,32,30,29,28,30,29,33,28,34,0.3,0,0
29,33,30,29,27,31,30,33,28,34,0.3,0,0
28,33,29,30,27,32,30,33,28,34,0.3,0,0
29,33,29,29,26,32,29,32,27,34,0.3,0,0
29,33,29,29,25,32,30,32,27,34,0.3,0,0
28,32,29,30,26,32,29,31,27,34,0.3,0,0
29,31,29,29,26,32,28,31,26,34,0.6,0,0
29,31,29,29,27,32,28,30,27,34,0.6,0,0
29,30,29,29,29,33,29,29,28,34,0.6,0,0
29,29,29,28,31,33,29,29,28,34,0.6,0,0
30,29,30,28,31,34,29,30,28,34,0.6,0,0
30,29,30,29,31,33,29,29,29,34,0.6,0,0
30,29,30,29,31,33,29,30,29,33,0.6,0,0
30,29,30,30,31,33,29,33,28,33,0.6,0,0
30,29,30,31,30,33,29,33,28,33,0.6,0,0
30,29,30,31,30,33,29,33,29,33,0.6,0,0
30,29,29,31,30,33,29,33,28,32,0.6,0,0
30,30,29,30,31,34,29,33,29,32,0.6,0,0
31,31,29,30,31,33,29,32,29,32,0.6,0,0
31,31,30,29,31,33,29,32,29,32,0.6,0,0
31,30,29,29,31,33,29,32,28,31,0.6,0,0
31,30,29,29,31,33,29,33,28,32,0.6,0,0
31,30,29,30,31,32,30,32,28,32,0.6,0,0
31,29,29,30,31,32,30,32,29,33,0.6,0,0
30,29,29,31,30,32,30,32,28,33,0.6,0,0
29,30,30,31,30,32,31,31,29,34,0.6,0,0
29,30,30,30,30,32,30,30,29,34,0.6,0,0
30,30,31,29,30,33,30,30,28,35,0.6,0,0
30,30,30,29,30,34,30,30,27,35,0.6,0,0
30,30,30,28,31,33,30,30,28,34,0.6,0,0
30,30,30,29,31,33,30,30,28,34,0.6,0,0
30,30,30,29,31,32,30,31,28,33,0.6,0,0
29,30,29,30,31,33,30,32,28,33,0.6,0,0
30,30,30,31,31,32,31,31,29,32,0.6,0,0
30,30,30,30,31,33,31,31,30,32,0.6,0,0
30,29,29,31,31,32,31,32,30,33,0.6,0,0
30,29,29,31,31,33,31,32,30,33,0.6,0,0
30,29,29,32,31,34,31,31,31,34,0.6,0,0
29,29,29,31,32,33,30,31,30,34,0.6,0,0
30,30,28,32,32,33,30,31,30,34,0.6,0,0
30,30,29,31,32,33,30,31,30,35,0.6,0,0
30,30,30,31,32,32,29,32,30,35,0.6,0,0
30,30,30,30,32,32,30,32,30,33,0.6,0,0
30,29,29,31,30,33,30,33,30,33,0.6,0,0
30,29,30,30,31,33,30,34,29,34,0.6,0,0
30,29,30,31,31,34,30,34,30,34,0.6,0,0
29,29,30,31,31,34,30,34,29,33,0.6,0,0
29,29,30,31,30,34,30,33,29,34,0.6,0,0
30,29,30,30,31,34,30,34,29,33,0.6,0,0
29,30,30,30,30,34,30,33,29,33,0.6,0,0
29,30,30,30,31,33,30,34,28,33,0.6,0,0
30,29,29,30,31,33,30,33,29,32,0.6,0,0
30,29,30,30,31,33,30,33,29,32,0.6,0,0
30,29,30,30,31,33,29,33,29,32,0.6,0,0
30,29,30,30,31,34,29,33,30,32,0.6,0,0
30,29,30,30,31,34,30,32,30,32,0.6,0,0
29,30,30,30,31,34,30,32,29,33,0.6,0,0
29,30,29,29,30,34,30,32,29,33,0.6,0,0
29,30,30,29,31,35,30,32,29,34,0.6,0,0
30,30,30,29,31,34,30,32,29,34,0.6,0,0
30,30,29,29,31,34,30,31,28,34,0.6,0,0
30,29,30,29,30,33,29,30,28,34,0.6,0,0
29,29,30,30,30,34,29,30,28,33,0.6,0,0
28,29,30,31,30,33,29,30,29,33,0.6,0,0
28,29,30,31,30,33,29,31,29,33,0.6,0,0
28,29,30,30,30,33,29,32,30,33,0.6,0,0
29,29,30,30,30,33,28,32,30,33,0.6,0,0
30,29,30,29,30,32,28,33,29,34,0.6,0,0
30,29,30,29,30,33,29,33,29,34,0.6,0,0
30,29,30,29,30,32,29,32,29,35,0.6,0,0
29,29,30,29,29,32,29,32,28,34,0.9,0,0
28,29,30,29,30,32,30,31,27,33,0.9,0,0
28,28,30,29,29,33,30,32,27,32,0.9,0,0
27,29,29,28,29,33,31,32,26,32,0.9,0,0
28,29,30,28,29,33,31,32,26,32,0.9,0,0
28,29,30,28,29,34,31,33,27,33,0.9,0,0
28,29,30,29,30,34,31,33,27,33,0.9,0,0
27,30,30,28,31,34,30,32,27,32,0.9,0,0
28,30,30,28,30,33,30,32,27,31,0.9,0,0
27,30,31,29,30,33,30,32,26,31,0.9,0,0
27,30,31,29,30,32,30,31,27,31,0.9,0,0
27,30,31,29,31,33,30,32,27,31,0.9,0,0
26,30,31,29,29,33,31,32,28,31,0.9,0,0
26,30,31,29,29,33,31,32,27,31,0.9,0,0
26,29,31,29,28,33,31,32,27,31,0.9,0,0
26,29,31,29,29,33,31,33,26,31,0.9,0,0
26,29,31,28,28,33,31,33,26,30,0.9,0,0
27,29,31,28,30,33,31,33,25,30,0.9,0,0
27,29,30,28,30,33,31,33,25,29,0.9,0,0
27,29,29,27,30,33,31,34,25,29,0.9,0,0
27,29,29,27,30,33,31,33,24,29,0.9,0,0
27,30,29,27,31,32,31,33,25,29,0.9,0,0
27,30,28,27,31,32,31,32,26,30,0.9,0,0
26,30,29,28,31,32,31,32,26,31,0.9,0,0
27,31,29,28,31,32,31,33,27,31,0.9,0,0
27,30,29,28,30,32,31,33,27,31,0.9,0,0
28,30,29,28,29,33,31,32,27,30,0.9,0,0
28,29,30,28,29,33,31,32,26,30,0.9,0,0
29,29,30,28,29,33,31,33,26,30,0.9,0,0
27,29,31,28,29,34,31,33,26,30,0.9,0,0
27,29,31,27,29,34,31,33,26,30,0.9,0,0
27,29,31,27,29,33,31,34,26,30,0.9,0,0
27,29,30,27,28,33,31,34,26,30,0.9,0,0
26,29,30,27,29,33,31,34,26,30,0.9,0,0
27,29,29,28,29,32,31,33,26,30,0.9,0,0
27,29,29,28,29,33,31,34,26,30,0.9,0,0
27,29,29,29,28,33,30,33,26,31,0.9,0,0
28,29,30,29,28,33,30,33,26,30,0.9,0,0
28,29,30,29,29,33,30,33,25,31,0.9,0,0
29,30,31,28,29,33,30,33,25,31,0.9,0,0
29,30,31,28,29,33,29,33,25,31,0.9,0,0
29,30,31,27,29,32,30,33,25,30,0.9,0,0
29,31,30,27,30,32,30,32,26,31,0.9,0,0
29,30,30,27,29,32,30,32,26,30,0.9,0,0
29,30,30,28,30,32,31,31,26,30,0.9,0,0
28,30,30,28,31,32,31,31,26,30,0.9,0,0
29,30,29,29,30,32,31,32,25,31,0.9,0,0
29,30,30,29,31,33,31,33,25,30,0.9,0,0
28,30,30,30,31,33,31,34,25,31,0.9,0,0
28,30,30,30,29,34,31,34,25,30,0.9,0,0
28,30,30,30,29,34,31,34,26,30,0.9,0,0
28,30,30,29,30,33,30,34,26,31,0.9,0,0
28,30,30,29,30,33,30,33,26,31,0.9,0,0
29,30,30,28,30,32,30,32,26,31,0.9,0,0
28,30,30,27,32,31,30,33,26,32,0.9,0,0
28,30,30,27,32,31,30,33,26,32,0.9,0,0
27,30,31,27,30,31,31,33,27,31,0.9,0,0
27,30,30,28,29,32,31,34,26,31,0.9,0,0
26,30,30,29,30,32,31,34,27,31,0.9,0,0
26,30,30,29,28,32,32,34,27,30,0.9,0,0
26,30,31,28,29,32,31,34,27,29,0.9,0,0
26,30,31,29,29,32,31,34,27,29,0.9,0,0
26,29,31,29,30,32,31,34,27,30,0.9,0,0
25,29,31,28,30,32,31,33,27,30,0.9,0,0
26,30,30,29,31,32,30,33,27,32,0,30,0
27,30,30,30,30,32,30,33,26,32,0,30,0
28,30,30,30,30,32,30,34,26,32,0,30,0
29,30,29,30,28,32,29,35,26,32,0,30,0
30,31,29,30,27,32,28,35,26,32,0,30,0
30,31,30,31,26,32,28,36,26,32,0,30,0
30,32,30,30,26,32,29,35,26,33,0,30,0
30,32,30,30,26,33,29,35,26,33,0,30,0
30,32,30,31,26,33,29,35,27,34,0,30,0
30,31,30,31,26,33,29,36,27,34,0,30,0
30,31,30,31,26,34,29,36,27,34,0,30,0
29,31,30,32,26,33,28,36,26,34,0,30,0
29,31,30,32,26,32,28,35,26,34,0,30,0
29,31,30,32,25,32,29,35,26,34,0,30,0
29,31,30,32,25,32,28,34,26,34,0,30,0
30,31,30,31,24,32,28,35,26,34,0,30,0
30,30,31,31,24,32,29,35,26,33,0,30,0
30,31,31,31,25,33,29,35,26,33,0,30,0
29,30,31,31,26,32,28,35,26,33,0,30,0
29,31,31,31,26,32,28,36,27,33,0,30,0
29,31,31,32,26,33,28,35,26,33,0,30,0
30,31,30,31,26,33,28,35,27,33,0,30,0
29,31,30,32,25,33,27,35,27,32,0,30,0
29,32,29,32,24,33,27,34,26,33,0,30,0
29,32,29,33,24,33,27,34,26,32,0,30,0
29,32,29,33,24,32,27,34,27,33,0,30,0
29,33,30,33,25,32,28,34,27,32,0,30,0
30,33,29,33,25,32,28,34,27,33,0,30,0
30,33,30,32,25,32,28,34,27,33,0,30,0
30,33,30,32,25,33,28,34,27,34,0,30,0
31,33,30,32,25,33,28,34,27,34,0,30,0
30,32,30,32,25,33,28,34,26,34,0,30,0
30,32,30,32,25,33,28,34,27,34,0,30,0
31,32,30,32,25,33,28,34,27,33,0,30,0
32,32,30,31,25,33,28,34,27,33,0,30,0
31,32,30,31,25,33,28,34,27,33,0,30,0
31,33,30,30,24,32,28,35,27,33,0,30,0
31,32,30,30,25,33,29,35,27,33,0,30,0
32,32,30,31,25,32,28,34,27,33,0,30,0
32,31,30,31,25,33,28,34,26,33,0,30,0
31,31,29,31,24,33,28,34,26,32,0,30,0
31,31,29,31,25,33,29,33,26,32,0,30,0
32,31,29,31,24,33,29,33,26,32,0,30,0
30,31,29,30,24,33,28,33,26,31,0,30,0
30,32,29,31,24,32,28,33,26,32,0,30,0
30,33,29,31,25,33,28,34,27,32,0,30,0
30,33,29,31,24,33,28,33,26,32,0,30,0
31,33,30,32,25,33,27,33,27,32,0,30,0
31,33,30,31,25,32,28,33,27,33,0,30,0
31,32,30,31,24,33,28,33,27,33,0,30,0
32,32,30,32,24,33,28,33,26,33,0,30,0
32,32,30,32,23,33,28,34,26,33,0,30,0
32,32,30,32,24,33,28,34,26,32,0,30,0
32,32,30,31,23,33,28,35,26,32,0,30,0
32,32,30,31,24,33,28,34,25,31,0,30,0
32,32,30,30,24,33,28,34,25,32,0,30,0
32,32,31,30,24,33,28,33,25,32,0,30,0
32,32,31,30,24,33,28,33,25,32,0,30,0
31,31,31,30,25,33,29,33,26,32,0,30,0
30,31,31,30,25,33,29,33,26,32,0,30,0
30,31,30,30,26,33,29,33,26,32,0,30,0
31,31,30,30,25,33,29,33,27,32,0,30,0
31,31,30,30,24,33,29,34,27,33,0,30,0
31,31,30,31,24,34,29,34,27,33,0,30,0
31,31,30,31,24,34,28,33,26,33,0.3,30,0
31,31,30,32,26,34,29,33,26,33,0.3,30,0
30,31,31,32,27,33,29,34,27,31,0.3,30,0
30,31,30,31,27,33,29,34,26,30,0.3,30,0
30,31,30,31,28,33,29,34,27,30,0.3,30,0
30,30,30,30,28,33,30,33,27,30,0.3,30,0
30,30,30,30,28,33,29,33,27,30,0.3,30,0
30,30,29,30,29,33,29,33,27,31,0.3,30,0
30,30,29,31,30,32,29,33,27,31,0.3,30,0
30,30,29,31,30,32,29,32,28,31,0.3,30,0
30,30,29,31,31,32,29,33,28,30,0.3,30,0
30,31,29,31,31,32,29,33,28,31,0.3,30,0
30,30,29,31,31,32,29,32,28,30,0.3,30,0
31,31,29,31,31,33,28,31,28,31,0.3,30,0
31,30,30,30,31,32,28,31,29,31,0.3,30,0
31,30,29,32,31,32,29,32,29,31,0.3,30,0
29,30,29,32,30,32,29,31,30,31,0.3,30,0
29,29,29,32,30,32,29,31,29,32,0.3,30,0
29,29,30,32,30,32,30,31,30,32,0.3,30,0
29,28,30,32,30,32,30,32,29,32,0.3,30,0
29,29,30,30,30,32,30,32,29,32,0.3,30,0
30,29,31,31,30,32,30,31,28,32,0.3,30,0
30,29,30,31,31,32,30,31,28,31,0.3,30,0
30,30,29,32,32,32,30,31,27,31,0.3,30,0
29,31,29,32,31,32,30,31,27,31,0.3,30,0
29,31,29,32,30,32,30,31,27,31,0.3,30,0
29,30,28,31,30,32,30,31,27,31,0.3,30,0
29,29,29,31,30,32,30,31,28,31,0.3,30,0
29,29,29,31,28,32,29,31,28,31,0.3,30,0
30,28,29,31,29,32,29,30,28,31,0.3,30,0
30,29,30,31,31,32,29,28,28,31,0.3,30,0
30,29,30,31,30,33,29,29,28,31,0.3,30,0
30,29,30,31,28,32,29,30,28,31,0.3,30,0
30,29,30,30,28,33,29,31,29,31,0.3,30,0
30,30,30,31,28,33,29,30,29,31,0.3,30,0
29,30,30,31,28,33,29,30,29,31,0.3,30,0
29,30,30,31,27,33,29,31,29,31,0.3,30,0
29,30,30,31,29,33,29,30,29,31,0.3,30,0
30,30,30,31,29,33,30,30,29,32,0.3,30,0
29,31,30,31,29,32,31,31,30,32,0.3,30,0
30,30,29,32,28,32,30,31,29,32,0.3,30,0
30,30,29,32,29,33,31,30,29,32,0.3,30,0
30,30,29,31,28,33,31,31,29,31,0.3,30,0
29,30,29,31,29,33,31,31,29,31,0.3,30,0
29,29,29,31,27,33,30,31,29,32,0.3,30,0
29,29,29,31,29,33,30,32,30,32,0.3,30,0
29,29,29,31,29,32,30,31,30,33,0.3,30,0
29,29,29,32,30,31,30,30,29,33,0.3,30,0
29,29,30,32,28,32,30,30,29,32,0.3,30,0
29,29,29,33,29,32,30,31,28,31,0.3,30,0
29,29,29,33,28,33,29,31,28,31,0.3,30,0
29,29,29,32,28,33,29,32,28,31,0.3,30,0
30,29,29,33,28,33,29,33,28,31,0.3,30,0
30,30,29,32,30,33,29,33,28,31,0.3,30,0
30,30,29,32,30,33,30,33,28,32,0.3,30,0
30,29,30,32,31,32,31,32,29,32,0.3,30,0
29,30,30,32,31,32,30,33,29,32,0.3,30,0
29,29,30,32,31,32,30,33,29,32,0.3,30,0
29,29,30,31,29,32,30,32,29,31,0.3,30,0
28,28,30,31,29,32,30,32,29,32,0.3,30,0
29,29,30,30,28,32,29,32,30,32,0.3,30,0
29,29,30,31,27,32,29,31,29,31,0.3,30,0
29,29,30,30,27,32,30,31,28,31,0.3,30,0
30,30,30,30,28,33,30,32,28,31,0.3,30,0
30,30,29,30,28,32,30,31,27,31,0.6,30,0
31,30,29,31,28,33,29,32,26,30,0.6,30,0
31,30,29,30,27,32,29,32,26,30,0.6,30,0
31,30,29,30,27,32,29,32,26,30,0.6,30,0
31,30,29,30,26,32,29,32,25,29,0.6,30,0
30,30,29,30,26,32,29,32,26,28,0.6,30,0
30,30,29,30,25,31,29,33,26,29,0.6,30,0
30,30,29,31,24,31,29,34,26,28,0.6,30,0
29,30,29,31,23,31,29,33,26,29,0.6,30,0
30,30,29,31,22,31,28,33,26,30,0.6,30,0
30,30,29,31,21,31,28,32,26,31,0.6,30,0
30,30,28,30,22,31,28,32,27,31,0.6,30,0
29,31,28,30,23,31,28,31,27,32,0.6,30,0
29,30,28,29,23,31,28,31,26,31,0.6,30,0
29,31,28,29,24,31,28,31,27,30,0.6,30,0
30,30,28,29,24,31,28,31,26,29,0.6,30,0
30,30,29,30,24,31,28,31,26,29,0.6,30,0
31,29,28,29,24,31,29,31,26,29,0.6,30,0
32,30,28,29,24,31,29,31,26,29,0.6,30,0
32,30,28,29,25,31,28,31,25,30,0.6,30,0
32,29,28,29,25,31,29,31,25,30,0.6,30,0
32,29,28,29,26,31,29,32,25,31,0.6,30,0
31,30,29,30,26,32,29,31,26,30,0.6,30,0
30,30,28,30,25,32,29,31,26,31,0.6,30,0
29,30,28,30,25,32,29,31,26,30,0.6,30,0
29,31,28,30,25,32,29,31,26,30,0.6,30,0
29,31,28,29,24,32,29,31,26,30,0.6,30,0
29,31,28,29,24,32,29,31,25,30,0.6,30,0
29,31,29,30,24,33,29,30,25,29,0.6,30,0
29,30,29,30,24,32,29,30,25,29,0.6,30,0
29,29,29,30,24,32,29,30,26,29,0.6,30,0
29,29,29,31,24,31,29,30,26,30,0.6,30,0
28,29,29,31,24,31,28,30,26,30,0.6,30,0
28,29,29,31,25,31,29,32,26,30,0.6,30,0
27,29,28,31,24,31,28,31,26,31,0.6,30,0
27,30,28,30,24,31,28,32,26,30,0.6,30,0
26,30,28,30,24,32,28,32,25,30,0.6,30,0
27,29,28,31,23,32,29,32,25,30,0.6,30,0
27,29,28,30,23,32,29,31,25,30,0.6,30,0
28,29,28,30,23,32,29,32,25,30,0.6,30,0
28,29,29,31,23,32,29,32,25,31,0.6,30,0
29,29,29,31,23,31,28,33,26,31,0.6,30,0
30,29,28,30,23,32,28,32,26,31,0.6,30,0
30,29,28,29,22,32,28,32,27,31,0.6,30,0
30,29,28,29,24,32,28,32,27,31,0.6,30,0
30,30,29,29,24,32,28,32,27,31,0.6,30,0
30,30,29,28,24,32,29,31,26,32,0.6,30,0
29,29,29,29,25,32,29,32,27,32,0.6,30,0
29,29,29,29,25,31,29,31,26,31,0.6,30,0
30,29,29,30,25,31,29,32,26,31,0.6,30,0
29,29,29,30,24,31,29,32,26,30,0.6,30,0
29,28,29,31,25,31,29,32,26,31,0.6,30,0
29,29,29,30,25,32,29,31,26,30,0.6,30,0
29,29,30,31,25,32,29,32,26,31,0.6,30,0
29,30,30,31,24,32,29,31,28,31,0.6,30,0
29,30,29,31,25,32,29,31,28,31,0.6,30,0
29,30,29,31,25,32,28,31,29,30,0.6,30,0
30,30,29,31,25,31,28,32,29,30,0.6,30,0
30,30,28,30,25,31,28,32,29,30,0.6,30,0
30,30,28,30,25,31,28,32,29,31,0.6,30,0
30,29,28,30,25,31,28,33,28,31,0.6,30,0
29,29,27,31,25,31,28,32,28,31,0.6,30,0
29,29,27,30,24,31,29,31,29,30,0.6,30,0
29,30,27,31,25,32,29,31,28,30,0.6,30,0
29,29,27,30,26,31,29,31,28,29,0.9,30,0
28,29,27,29,27,31,29,29,27,28,0.9,30,0
27,29,27,28,28,31,29,30,25,28,0.9,30,0
26,29,26,28,29,31,29,31,24,28,0.9,30,0
25,28,26,27,29,31,28,31,24,27,0.9,30,0
24,28,26,28,27,31,28,30,24,28,0.9,30,0
24,29,26,28,27,31,28,32,24,28,0.9,30,0
24,29,27,28,27,31,29,31,25,27,0.9,30,0
24,30,27,29,27,31,29,30,26,27,0.9,30,0
25,30,27,29,28,31,29,30,25,28,0.9,30,0
26,29,27,30,29,31,30,32,25,28,0.9,30,0
26,29,28,29,29,31,30,32,25,28,0.9,30,0
26,29,27,30,28,31,30,32,25,29,0.9,30,0
27,29,27,29,27,31,30,33,25,30,0.9,30,0
26,30,27,29,26,31,30,33,25,29,0.9,30,0
26,30,27,29,26,31,30,33,25,30,0.9,30,0
26,30,27,29,26,31,29,33,25,30,0.9,30,0
26,30,27,29,28,31,29,33,25,30,0.9,30,0
25,29,27,30,29,31,29,34,24,29,0.9,30,0
26,29,27,29,29,31,28,34,23,29,0.9,30,0
26,29,27,28,28,31,28,34,23,29,0.9,30,0
26,30,27,29,27,31,29,34,23,29,0.9,30,0
26,29,27,29,28,31,29,34,23,29,0.9,30,0
25,30,27,30,27,31,29,33,23,29,0.9,30,0
25,30,27,30,27,32,29,32,24,30,0.9,30,0
25,29,27,30,27,32,29,31,24,29,0.9,30,0
25,29,28,29,28,32,29,31,25,29,0.9,30,0
25,30,28,29,27,31,29,32,24,29,0.9,30,0
25,30,27,29,27,32,30,31,24,28,0.9,30,0
25,31,28,29,27,32,30,31,24,29,0.9,30,0
25,32,28,29,28,32,30,33,24,29,0.9,30,0
25,32,27,30,28,31,30,33,24,30,0.9,30,0
25,31,27,29,26,31,30,32,25,30,0.9,30,0
25,31,27,29,27,31,28,33,24,30,0.9,30,0
25,30,27,30,27,31,28,33,24,30,0.9,30,0
25,30,27,30,26,31,28,33,25,29,0.9,30,0
26,30,28,29,26,31,28,32,25,28,0.9,30,0
27,30,28,29,28,31,29,33,25,28,0.9,30,0
27,30,29,29,27,30,29,33,26,28,0.9,30,0
28,31,28,29,28,30,29,33,26,27,0.9,30,0
28,30,28,29,28,31,29,32,26,27,0.9,30,0
28,30,29,29,28,31,30,32,25,27,0.9,30,0
28,30,28,30,28,30,30,31,26,27,0.9,30,0
27,30,28,30,29,30,30,31,25,27,0.9,30,0
27,30,28,30,28,30,30,31,25,28,0.9,30,0
27,30,28,29,28,29,30,31,24,27,0.9,30,0
27,29,27,30,28,29,30,30,25,27,0.9,30,0
28,29,27,30,28,30,30,31,24,28,0.9,30,0
28,29,27,30,28,30,30,31,24,28,0.9,30,0
27,29,27,30,28,30,30,31,24,27,0.9,30,0
27,29,27,30,28,30,29,31,25,28,0.9,30,0
27,30,27,29,28,30,29,31,24,29,0.9,30,0
26,30,27,31,28,30,28,32,24,29,0.9,30,0
26,29,28,31,28,30,29,32,24,29,0.9,30,0
26,29,27,31,29,30,29,32,25,30,0.9,30,0
26,29,28,31,28,31,29,33,24,30,0.9,30,0
26,29,28,31,29,31,29,32,25,30,0.9,30,0
26,29,28,31,29,31,29,31,26,30,0.9,30,0
26,29,28,30,28,32,29,31,25,29,0.9,30,0
27,30,28,31,27,31,29,31,26,28,0.9,30,0
27,30,27,30,26,31,29,31,25,29,0.9,30,0
27,29,28,30,27,31,29,31,25,28,0.9,30,0
